ACT,AGE,AGO,ANC,C,CEN,CIV,CLS,CRS,CU,DG,DLG,EN,FR,GOV,ID,MRQ,NFC,PLA,PSS,RISKY,SX,TV,USG,VN,VV
PROFESSIONS_MEDICALES,4,2,1,T,173,Mme,8,CI-4P,1,TUNIS SUD,Carthage,ES,0,Tunis,730883,SUZUKI,5,2,2,Yes,F,KFC42S,VP,3,3
PROFESSIONS_MEDICALES,3,5,2,T,807,Mr,3,CI-4P,1,SAHEL,Monastir,DI,0,Monastir,281683,PEUGEOT,5,2,3,No,M,6D9HZC,VP,2,2
EMPLOYE,2,5,2,T,808,Mr,10,CI-4P,1,CAPBON,Bizerte Nord,DI,1,Bizerte,877283,RENAULT,2,2,3,No,M,LM0FC5,VP,2,2
GERANT_DIRIGEANT,8,3,2,T,128,Entreprise,4,CI-4P,1,TUNIS NORD,Raoued,ES,1,Ariana,867283,TOYOTA,2,3,3,No,JP,F651LMGMRF,VP,3,3
ACTIVITES_COMMERCIALES,4,4,3,T,191,Mr,4,PLATEAU,1,SAHEL,Moknine,DI,1,Monastir,717883,RENAULT,5,2,4,No,M,BZ5G06,u1,5,5
EMPLOYE,2,4,2,T,116,Mr,10,CI-4P,1,TUNIS NORD,Ettahrir,ES,1,Tunis,897883,RENAULT,2,2,3,No,M,BB270F,VP,2,2
RETRAITE,4,5,2,T,109,Mr,3,CI-4P,1,CAPBON,Dar Chaabane Elfehri,ES,1,Nabeul,644683,FIAT,2,2,3,No,M,188BXA1A01S,VP,2,2
ACTIVITES_COMMERCIALES,2,2,3,T,150,Mr,5,CI-4P,1,TUNIS NORD,Sidi Hassine,ES,0,Tunis,769483,KIA,5,2,3,Yes,M,IHS4K3615,VP,4,4
EMPLOYE,2,3,3,T,151,Mme,2,CI-4P,4,SAHEL,Sousse Riadh,ES,0,Sousse,756483,RENAULT,5,2,3,No,F,5ROKOH,VP,4,4
EMPLOYE,4,3,1,T,180,Mme,8,CI-4P,1,CAPBON,Zaghouan,ES,0,Zaghouan,1090483,RENAULT,5,2,3,No,F,BR120H,VP,3,3
PROFESSIONS_MEDICALES,3,4,3,T,807,Mr,3,CI-4P,1,SAHEL,Monastir,ES,1,Monastir,459483,VOLKSWAGEN,2,2,2,No,M,9N30841,VP,2,2
PROFESSIONS_MEDICALES,4,4,4,T,127,Mme,1,CI-4P,1,TUNIS SUD,La Marsa,DI,1,Tunis,421683,TOYOTA,2,2,6,No,F,VDJ200LGNMN,u1,5,5
EMPLOYE,4,2,2,T,112,Mme,8,CI-4P,1,TUNIS CENTRE,Le Bardo,ES,1,Tunis,852883,DACIA,2,2,3,No,F,5SDAP4,VP,3,3
ARTISAN,4,6,3,T,109,Mr,2,CI-4P,1,CAPBON,Nabeul,ES,0,Nabeul,477883,VOLKSWAGEN,5,2,3,No,M,19E,VP,1,1
EDUCATION_FORMATION,3,4,3,T,181,Mr,1,CI-4P,1,SAHEL,Kairouan Sud,ES,0,Kairouan,488683,CITROEN,5,2,2,No,M,FCHFXM,VP,2,2
PROFESSIONS_MEDICALES,4,3,2,T,130,Mme,8,CI-4P,1,TUNIS SUD,Hammam Lif,ES,1,Ben Arous,286083,RENAULT,2,2,3,No,F,BR120H,VP,3,3
EDUCATION_FORMATION,4,3,4,T,113,Mr,2,CI-4P,1,TUNIS CENTRE,Ras Jebel,ES,1,Bizerte,146283,RENAULT,2,2,3,No,M,5R0K0H,VP,4,4
EMPLOYE,2,3,2,T,151,Mme,4,CI-4P,1,SAHEL,Sousse Riadh,ES,1,Sousse,841483,RENAULT,2,2,3,No,F,BRC40H,VP,3,3
EDUCATION_FORMATION,2,5,3,T,153,Mr,5,CI-4P,1,TUNIS SUD,Ezzouhour  (Tunis),ES,1,Tunis,750483,CITROEN,2,2,2,No,M,S1HDZG,VP,1,1
EDUCATION_FORMATION,4,3,3,T,101,Mr,2,CI-4P,1,TUNIS CENTRE,El Kram,ES,1,Tunis,211683,VOLKSWAGEN,2,2,2,No,M,6R12B4,VP,3,3
EMPLOYE,4,6,2,T,111,Mr,4,CI-4P,1,SAHEL,Ksibet El Mediouni,ES,1,Monastir,831083,CITROEN,2,2,2,No,M,RBRE,VP,1,1
EDUCATION_FORMATION,4,6,5,T,124,Mr,1,CI-4P,1,SAHEL,Bekalta,ES,1,Monastir,223283,VOLKSWAGEN,5,2,2,No,M,CB7468NB,VP,2,2
